id_da_onda,operacao,numero_da_onda,codinome_farsi_da_onda,codinome_ingles_da_onda,anunciado_utc,fonte_do_anuncio,horario_provavel_de_lancamento,horario_lancamento_israel,horario_lancamento_ira,fase_solar_local_lancamento,fase_solar_alvo,dia_do_conflito,horas_desde_ultima_onda,tempo_entre_ondas_minutos,duracao_da_onda_minutos,carga_util,drones_utilizados,misseis_balisticos_utilizados,misseis_de_cruzeiro_utilizados,emad_used,ghadr_used,sejjil_used,kheibar_shekan_used,fattah_used,shahed_136_used,shahed_238_used,shahed_131_used,shahed_107_used,shahed_129_used,mohajer_6_used,bm_liquid_fueled,bm_solid_fueled,bm_marv_equipped,bm_hypersonic,bm_cluster_warhead,cluster_munitions,cluster_warhead_confirmed,cluster_carrier_missile,cluster_submunition_count,cluster_submunition_explosive_kg,cluster_dispersal_radius_km,israel_targeted,us_bases_targeted,alvos,landings_countries_iso,paises_de_impacto,targeted_tel_aviv,targeted_jerusalem,targeted_haifa,targeted_negev_beersheba,targeted_northern_periphery,targeted_eilat,us_bases_list,us_naval_vessels_list,target_lat,target_lon,target_generic_location,launch_site_description,launch_site_lat,launch_site_lon,launch_site_generic_location,interceptado,interception_systems,intercepted_by_israel,intercepted_by_us,intercepted_by_uk,intercepted_by_jordan,intercepted_by_other,estimated_intercept_count,estimated_intercept_rate,exoatmospheric_interception,endoatmospheric_interception,interception_report,estimated_munitions_count,munitions_targeting_israel,munitions_targeting_us_bases,cumulative_total,small_number_of_missiles,danos,mortes,feridos,civilian_casualties,military_casualties,new_country_targeted,new_weapon_first_use,proxy_involvement,proxy_description,descricao,iranian_media_claims,idf_statement,source_urls,target_iaf_base,target_us_base,target_naval_base,target_naval_vessel,target_government_c2,target_military_industrial,target_intelligence,target_civilian_infrastructure,target_civilian_area,target_diplomatic,narrativa
tp3_w07,tp3,7,,,2025-06-16T04:00:00Z,IRGC,2025-06-16T04:00:00Z,2025-06-16T07:00:00+0300,2025-06-16T09:30:00+0330,5.0,5.0,4,13.0,,,Missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,"Tel Aviv, Haifa — enhanced intelligence-guided targeting",IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,True,Continued Houthi coordination,,,,,False,False,False,False,False,False,True,False,False,False,"Iran claimed this wave used enhanced intelligence-guided targeting against Tel Aviv and Haifa, suggesting improved battle damage assessment and target refinement from earlier waves. This indicated a feedback loop between Iranian ISR and strike planning."
tp3_w08,tp3,8,,,2025-06-16T00:00:00Z,IRGC,2025-06-16T00:00:00Z,2025-06-16T03:00:00+0300,2025-06-16T05:30:00+0330,0.0,0.0,4,,,,Hundreds of missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,"Strategic/sensitive targets in Tel Aviv, Haifa — C2 systems targeted",IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,Targeted command and control systems,,,,,False,False,False,,,,,,False,False,False,False,True,False,False,False,False,False,"Targeting described as strategic and sensitive sites in Tel Aviv and Haifa, with specific focus on C2 (command and control) systems. The progressive focus on C2 nodes suggested an attempt to degrade Israeli coordination capabilities."
tp3_w09,tp3,9,,,2025-06-16T12:00:00Z,IRGC,2025-06-16T12:00:00Z,2025-06-16T15:00:00+0300,2025-06-16T17:30:00+0330,5.0,5.0,4,,,,Missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,"Haifa, Tel Aviv — continued bombardment",IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,"A continuation wave maintaining pressure on Haifa and Tel Aviv. By this point in the campaign, the sustained tempo was testing Israeli air defense ammunition stocks and crew endurance."
tp3_w10,tp3,10,,,2025-06-17T08:00:00Z,IRGC,2025-06-17T08:00:00Z,2025-06-17T11:00:00+0300,2025-06-17T13:30:00+0330,5.0,5.0,5,,,,Large-scale missile barrage,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,Israeli airbases from which jets attacked Iran,IL,Israel,True,False,False,True,True,False,,,32.0567,35.02,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,Nevatim Airbase absorbed ~32 MRBMs; direct hit on hardened F-35I shelter (IDF claimed no aircraft damaged). Glilot intel base hit. Tel Nof base hit. Kirya HQ damaged.,,,,,False,False,False,,,,,https://www.tehrantimes.com/news/514571/IRGC-targets-Israeli-airbases-in-tenth-wave-of-True-Promise-III,True,False,False,False,False,False,False,False,False,False,"This wave specifically targeted Israeli airbases from which jets had launched strikes against Iran, marking a direct retaliatory link between Israeli offensive operations and Iranian target selection."
tp3_w11,tp3,11,,,2025-06-17T23:00:00Z,IRGC,2025-06-17T23:00:00Z,2025-06-18T02:00:00+0300,2025-06-18T04:30:00+0330,0.0,0.0,5,15.0,,,"Fattah-1 (first combat use in TP3), Emad, Ghadr, others",False,True,False,True,True,False,False,True,False,False,,,,,True,True,True,True,,False,,,,,,True,False,"Air defense radars, military targets — Fattah used to destroy radar systems, clearing path for follow-on missiles",IL,Israel,False,False,False,True,False,False,,,31.25,34.79,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD",True,True,False,False,,,,True,True,,,,0.0,,,Fattah-1 used to destroy air defense radar systems,,,,,False,True,False,,,,,,False,False,False,False,False,False,True,False,False,False,A tactically significant wave that used Fattah hypersonic missiles to target and reportedly destroy Israeli air defense radar systems. Iran framed this as a SEAD (Suppression of Enemy Air Defenses) operation designed to clear the path for follow-on missile waves — a doctrinal first for Iranian forces.
tp3_w12,tp3,12,,,2025-06-19T18:00:00Z,IRGC,2025-06-19T18:00:00Z,2025-06-19T21:00:00+0300,2025-06-19T23:30:00+0330,0.0,0.0,7,,,,"Sejjil (~8 missiles, first combat deployment), other MRBMs",False,True,False,True,True,True,False,False,False,False,,,,,True,True,False,False,,False,,,,,,True,False,"Tel Aviv — ultra-heavy, long-range, two-stage Sejjil missiles",IL,Israel,True,False,False,False,False,False,,,32.07,34.77,True,Central/western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD",True,True,False,False,,,,True,True,,8.0,8.0,0.0,,,,,,,,False,True,False,,,,,https://english.almayadeen.net/news/politics/op--true-promise-3--wave-12-launched--sejjil-deployed-in-fir,False,False,False,False,False,False,False,False,False,False,"The first combat use of Iran's Sejjil two-stage solid-fuel ballistic missile against Tel Aviv. The Sejjil's longer range and faster flight time represented a qualitative escalation in the weapons employed. These ultra-heavy, long-range missiles were designed to stress Israel's upper-tier Arrow interceptors."
tp3_w13,tp3,13,,,2025-06-20T00:00:00Z,IRGC,2025-06-20T00:00:00Z,2025-06-20T03:00:00+0300,2025-06-20T05:30:00+0330,0.0,0.0,8,6.0,,,Missiles and drones,True,True,False,True,True,False,False,False,True,False,True,,,,True,False,False,False,,False,,,,,,True,False,"Military sites, military industry in Haifa/Tel Aviv",IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,,False,False,False,False,False,True,False,False,False,False,A wave targeting military sites and military industrial facilities in the Haifa and Tel Aviv areas. The targeting of defense industry suggested an attempt to degrade Israel's capacity to sustain military operations and replenish interceptor stocks.
tp3_w14,tp3,14,,,2025-06-20T08:00:00Z,IRGC,2025-06-20T08:00:00Z,2025-06-20T11:00:00+0300,2025-06-20T13:30:00+0330,5.0,5.0,8,8.0,,,Missiles and drones,True,True,False,True,True,False,False,False,True,False,True,,,,True,False,False,False,,False,,,,,,True,False,Military/industrial facilities,IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,Continued strikes on military and industrial facilities. The sustained nature of the campaign by this point — over a week of near-daily waves — was unprecedented in modern missile warfare.
tp3_w15,tp3,15,,,2025-06-20T12:00:00Z,IRGC,2025-06-20T12:00:00Z,2025-06-20T15:00:00+0300,2025-06-20T17:30:00+0330,5.0,5.0,8,4.0,,,New-generation missiles,False,True,False,False,False,False,False,False,False,False,,,,,False,True,False,False,,False,,,,,,True,False,Military targets — new phase of campaign,IL,Israel,False,False,False,False,False,False,,,,,,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,https://www.tehrantimes.com/news/514649/IRGC-launches-fifteenth-wave-of-Operation-True-Promise-III,False,False,False,False,False,False,False,False,False,False,"Iran announced this wave as a new phase of the campaign, suggesting a deliberate operational pause and reassessment before resuming strikes. Military targets remained the stated focus."
tp3_w16,tp3,16,,,2025-06-20T20:00:00Z,IRGC,2025-06-20T20:00:00Z,2025-06-20T23:00:00+0300,2025-06-21T01:30:00+0330,0.0,0.0,8,8.0,,,Missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,Military targets,IL,Israel,False,False,False,False,False,False,,,,,,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,"A military-focused wave continuing the declared new phase. The cumulative effect of 16 waves was placing enormous strain on Israel's interceptor stockpiles, particularly Arrow-3 and David's Sling missiles."
tp3_w17,tp3,17,,,2025-06-21T06:00:00Z,IRGC,2025-06-21T06:00:00Z,2025-06-21T09:00:00+0300,2025-06-21T11:30:00+0330,5.0,5.0,9,10.0,,,Missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,Military/strategic targets,IL,Israel,False,False,False,False,False,False,,,,,,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,Strikes on military and strategic targets. The campaign had by this point settled into a pattern of daily waves designed to maintain continuous pressure rather than achieve a single decisive blow.
tp3_w18,tp3,18,,,2025-06-21T14:00:00Z,IRGC,2025-06-21T14:00:00Z,2025-06-21T17:00:00+0300,2025-06-21T19:30:00+0330,5.0,5.0,9,8.0,,,"Shahed-136 drones and precision missiles — new innovations in missile selection, target choice, and guidance paths",True,True,False,True,True,False,False,False,True,False,True,,,,True,False,False,False,,False,,,,,,True,False,"14 strategic military sites: Hadera power plant, Haifa oil refinery, Ovda airbase (cyber command), Kiryat Gat semiconductor zone, Rafael center Haifa",IL,Israel,False,False,True,True,True,True,,,31.62,35.06,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,"14 strategic military sites targeted including Hadera power plant, Haifa oil refinery, Ovda airbase (cyber command), Kiryat Gat semiconductor zone, Rafael center Haifa. Bazan Oil Refinery struck (3 killed, refinery shut down). Haifa Power Plant struck (fire).",3.0,,,,False,False,False,,,,,https://www.presstv.ir/Detail/2025/06/21/750020/irgc-14-strategic-military-sites-hit-18th-phase-true-promiseiii,True,False,False,False,False,True,False,True,False,False,"One of the most significant waves of TP3, targeting 14 named strategic military sites including the Hadera power plant, Haifa oil refinery, Ovda airbase (home to cyber command), the Kiryat Gat semiconductor zone, and the Rafael advanced defense systems centre in Haifa. This wave demonstrated detailed Iranian intelligence on Israeli critical infrastructure."
